SYMBOL,NAME,WHITEPAPER
AIDOC,AI Doctor,http://aidoc.me/html/AIDOCWhitepaperv0.777777.pdf
BQ,bitqy,http://bitqy.org/wp-content/uploads/bitqy_whitepaper_v1-4.pdf
CPX,Apex,http://cdn.chinapex.com.cn/med/videos/to/APEX-Development-Plan-eng.pdf
DPY,Delphy,http://delphy.org/src/papers/Delphy_Whitepaper_EN.pdf
MDS,MediShares,http://doc.medishares.org/whitepaper/MediShares.Whitepaper.EN.pdf
PAC,PacCoin,http://download.paccoin.net/PAC_White_Paper_2018_Final.pdf
HPB,High Performance Blockchain,http://gxn.io/files/hpb_white_paper_en.pdf
THC,HempCoin,http://hempcoin.org/whitepaper.pdf
IOTA,IOTA,http://iotatoken.com/IOTA_Whitepaper.pdf
ETP,Metaverse ETP,http://newmetaverse.org/white-paper/Metaverse-whitepaper-v3.0-EN.pdf
PRA,Prochain,http://oucxb2pew.bkt.clouddn.com/ProChain_EN.pdf
XPM,Primecoin,http://primecoin.io/bin/primecoin-paper.pdf
PZM,Prizm,http://prizm.club/wp-content/uploads/2018/05/WP-PRIZM-2018-ENG.pdf
R,Revain,http://revain.org/pdf/wp/en-wp.pdf
UGC,ugChain,http://static.ugchain.org/WhitepaperUGC-Whitepaper-7.7-EN.pdf
SUB,Substratum,http://substratum.net/wp-content/uploads/2017/08/substratum_whitepaper.pdf
KRM,Karma,http://tge.karmainternational.com/documents/karma-whitepaper.pdf
REP,Augur,http://www.augur.net/whitepaper.pdf
CTXC,Cortex,http://www.cortexlabs.ai/Cortex_AI_on_Blockchain_EN.pdf
GRS,Groestlcoin,http://www.groestl.info/groestl-implementation-guide.pdf
OCN,Odyssey,http://www.ocoins.cc/pdf/ODYSSEY+WHITEPAPER+V1.3+EN.pdf
XSH,SHIELD,http://www.shieldx.sh/SHIELD.docx.pdf
TCT,TokenClub,http://www.tokenclub.com/about/assets/TokenClub_e.pdf
XDN,DigitalNote,http://xdndigitalnote.com/wp-content/uploads/2017/07/whitepaper.pdf
ZEC,Zcash,http://zerocash-project.org/media/pdf/zerocash-extended-20140518.pdf
ZRX,0x,https://0xproject.com/pdfs/0x_white_paper.pdf
ADT,adToken,https://adtoken.com/uploads/white-paper.pdf
AE,Aeternity,https://aeternity.com/aeternity-blockchain-whitepaper.pdf
AION,Aion,https://aion.network/media/en-aion-network-technical-introduction.pdf
AMB,Ambrosus,https://ambrosus.com/assets/-White-Paper-V8-1.pdf
APIS,APIS,https://apisplatform.io/whitepaper.en.pdf
APPC,AppCoins,https://appcoins.io/pdf/appcoins_whitepaper.pdf
ARK,Ark,https://ark.io/Whitepaper.pdf
KCS,KuCoin Shares,https://assets.kucoin.com/kucoin_whitepaper_en.pdf
ATN,ATN,https://atn.io/system/whitepaper-en.pdf
AURA,Aurora DAO,https://auroradao.com/assets/Aurora-Labs-Whitepaper-V0.9.5.pdf
BKX,Bankex,https://bankex.com/en/whitepaper.pdf
BAT,Basic Attention Token,https://basicattentiontoken.org/BasicAttentionTokenWhitePaper-4.pdf
BFT,Bnk To The Future,https://bf-token.bnktothefuture.com/pdf/whitepaper.pdf
CREDO,Credo,https://bitbounce.com/whitepaper.pdf
BTC,Bitcoin,https://bitcoin.org/bitcoin.pdf
BTG,Bitcoin Gold,https://bitcoingold.org/wp-content/uploads/2017/10/BitcoinGold-Roadmap.pdf
RNTB,BitRent,https://bitrent.io/wp-content/uploads/2017/10/WP_Bitrent_en1.pdf
BLK,BlackCoin,https://blackcoin.co/blackcoin-pos-protocol-v2-whitepaper.pdf
BMC,Blackmoon,https://blackmoonplatform.com/content/bmc_whitepaper.pdf
VEE,BLOCKv,https://blockv.io/documents/whitepaper.pdf
BBR,Boolberry,https://boolberry.com/files/whitepaper.pdf
BOS,BOScoin,https://boscoin.io/wp-content/themes/boscoin/src/pdf/BOScoinWhitePaper.pdf
BTCD,BitcoinDark,https://bravenewcoin.com/assets/Whitepapers/Bitcoin-DarkPaper.pdf
XEL,Elastic,https://bravenewcoin.com/assets/Whitepapers/Elastic-Project-The-Decentralized-Supercomputer.pdf
LUN,Lunyr,https://bravenewcoin.com/assets/Whitepapers/Lunyr-WhitePaper-ENG.pdf
MLN,Melon,https://bravenewcoin.com/assets/Whitepapers/melonprotocol.pdf
MCO,Monaco,https://bravenewcoin.com/assets/Whitepapers/monaco-whitepaper.pdf
PASC,Pascal Coin,https://bravenewcoin.com/assets/Whitepapers/PascalCoin-White-Paper-EN.pdf
VTC,Vertcoin,https://bravenewcoin.com/assets/Whitepapers/Vertcoin-by-David-Muller.pdf
VIB,Viberate,https://bravenewcoin.com/assets/Whitepapers/Viberate-ICO-Whitepaper.pdf
BTCP,Bitcoin Private,https://btcprivate.org/whitepaper.pdf
GBYTE,Byteball Bytes,https://byteball.org/Byteball.pdf
BCN,Bytecoin,https://bytecoin.org/resources/whitepaper.pdf
CAS,Cashaa,https://cashaa.com/pdf/Cashaa_WP.pdf
C20,CRYPTO20,https://cdn.crypto20.com/pdf/c20-whitepaper.pdf
MTC,Docademic,https://cdn.docademic.com/documents/Docademic+ICO+White+Paper.pdf
OMG,OmiseGO,https://cdn.omise.co/omg/whitepaper.pdf
FAIR,FairCoin,https://chain.fair-coin.org/download/FairCoin2-white-paper-V1.1.pdf
TIME,Chronobank,https://chronobank.io/files/whitepaper.pdf
CND,Cindicator,https://cindicator.com/Cindicator_WhitePaper_en.pdf
CFI,Cofound.it,https://cofounditmedia.s3-eu-west-1.amazonaws.com/documents/Cofound.it_business_plan_Na27itB.pdf
COLX,Colossus XT,https://colossusxt.io/wp-content/uploads/2018/03/Whitepaper_ColossuxXT_20180325.pdf
ATOM,Cosmos,https://cosmos.network/cosmos-whitepaper.pdf
1ST,FirstBlood,https://coss.io/documents/white-papers/first-blood.pdf
ICN,Iconomi,https://coss.io/documents/white-papers/iconomi.pdf
SNGLS,SingularDTV,https://coss.io/documents/white-papers/singulardtv.pdf
CS,Credits,https://credits.com/Content/Docs/TechnicalWhitePaperCREDITSEng.pdf
STQ,Storiqa,https://crowdsale.storiqa.com/static/docs/TS-white-paper-EN.pdf
CRW,Crown,https://crown.tech/wp-content/uploads/2018/04/CRW2.0-Introduction-Features.pdf
SAN,Santiment Network,https://cryptoactu.com/uploads/2017/09/Santiment-Whitepaper-v7.pdf
XMR,Monero,https://cryptonote.org/whitepaper.pdf
CUBE,Cube,https://cubeint.io/CUBEWhite_Paper-V1.3.pdf
SXDT,Spectre.ai,https://d1zzssn32v8b7a.cloudfront.net/media/en/spectre_whitepaper_v_2_3.pdf
BRD,Bread,https://d2n2g5n187q8lu.cloudfront.net/static/docs/BRD-whitepaper-EN.pdf
TAU,Lamden,https://daks2k3a4ib2z.cloudfront.net/599f63af83acb10001bd4583/59d69f806fbb6f000123dbce_lamden-white-paper.pdf
GEN,Daostack,https://daostack.io/wp/DAOstack-White-Paper-en.pdf
DXT,Datawallet,https://datawallet.com/pdf/datawallet_whitepaper.pdf
DAT,Datum,https://datum.org/assets/Datum-WhitePaper.pdf
MANA,Decentraland,https://decentraland.org/whitepaper.pdf
ONION,DeepOnion,https://deeponion.org/White-Paper.pdf
DCN,Dentacoin,https://dentacoin.com/web/white-paper/Whitepaper-en1.pdf
DGD,DigixDAO,https://digix.global/whitepaper.pdf
DNT,district0x,https://district0x.io/docs/district0x-whitepaper.pdf
DMT,DMarket,https://dmarket.io/assets/documents/DMarket_white_paper_EN.pdf
DLT,Agrello,https://docs.agrello.org/Agrello-Self-Aware_Whitepaper-English.pdf
ICX,ICON,https://docs.icon.foundation/ICON-Whitepaper-EN-Draft.pdf
HTML,HTMLCOIN,https://docs.wixstatic.com/ugd/d420c8_b9d99ea79d644ac783e73561ce4713bf.pdf
ZIL,Zilliqa,https://docs.zilliqa.com/whitepaper.pdf
SKY,Skycoin,https://downloads.skycoin.net/whitepapers/Skycoin-Whitepaper-v1.0.pdf
DRGN,Dragonchain,https://dragonchain.com/dd6d7a464346349a6659b8c1075e6772.pdf
DROP,Dropil,https://dropil.com/wp-content/uploads/2018/01/Dropil_WhitePaper.pdf
ECC,ECC,https://ecc.network/downloads/documents/en/ecc-whitepaper.pdf
EDO,Eidoo,https://eidoo.io/docs/EIDOO_Technology_White_Paper_v_0_2_Draft_EN.pdf
ELEC,Electrify.Asia,https://electrify.asia/wp/Technical-Whitepaper-11-1.pdf
ETN,Electoneum,https://electroneum.com/overview-white-paper.pdf
ENG,Enigma,https://enigma.co/enigma_full.pdf
ENJ,Enjin Coin,https://enjincoin.io/enjincoin_whitepaper.pdf
ADA,Cardano,https://eprint.iacr.org/2016/889.pdf
ETC,Ethereum Classic,https://ethereumclassic.github.io/assets/ETC_Declaration_of_Independence.pdf
FUEL,Etherparty,https://etherparty.com/media/Etherparty_White_Paper_EN.pdf
EXC,Eximchain,https://eximchain.com/Whitepaper%20-%20Eximchain.pdf
FIL,Filecoin,https://filecoin.io/filecoin.pdf
FOTA,Fortuna,https://fortuna-public.s3.amazonaws.com/Fortuna%20Whitepaper%20EN.pdf
PLBT,Polybius,https://foxico.io/static/uploads/wpfile-a5dfb0fbfd3aad1003f0bcdbf8a7aa5c.pdf
FUN,FunFair,https://funfair.io/wp-content/uploads/FunFair-Technical-White-Paper.pdf
FXT,FuzeX,https://fuzex.co/wp-content/uploads/2018/01/FuzeX_whitepaper_20170116_V_1.6..pdf
GAME,GameCredits,https://gamecredits.com/wp-content/uploads/2017/12/Mobilego-Whitepaper-English.pdf
RKT,Rock,https://gbx.gi/token-sales/GBX-Whitepaper.pdf
GEM,Gems,https://gems.org/whitepaper.pdf
GVT,Genesis Vision,https://genesis.vision/white-paper-eng.pdf
BTX,Bitcore,https://github.com/dgcarlosleon/Bitcore_White_Paper_ESP_09_2018/releases/download/Bitcore/Bitcore_Whitepaper_09_2018.pdf
HOT.,Holochain,https://github.com/holochain/holochain-proto/raw/whitepaper/holochain.pdf
PART,Particl,https://github.com/particl/whitepaper/raw/master/decentralized-private-marketplace-draft-0.1.pdf
QRL,Quantum Resistant Ledger,https://github.com/theQRL/Whitepaper/raw/master/QRL_whitepaper.pdf
GNO,Gnosis,https://gnosis.pm/assets/pdf/gnosis-whitepaper.pdf
GNT,Golem,https://golem.network/crowdfunding/Golemwhitepaper.pdf
ELF,Aelf,https://grid.hoopox.com/%C3%A6lf_whitepaper_v1.2.pdf
NLG,Gulden,https://guldenpagina.nl/wp-content/uploads/2017/07/tmp_25790-Gulden_PoW22819007230.pdf
HSR,Hshare,https://h.cash/themes/en/dist/pdf/Hcash+Whitepaper+V0.8.5.pdf
GTO,Gifto,https://h.cdn.pengpengla.com/giftoh5/website-new/1.1.1/assets/GIFTO_Whitepaper_EN.pdf
HAV,Havven,https://havven.io/uploads/havven_whitepaper.pdf
BLT,Bloom,https://hellobloom.io/whitepaper.pdf
KNC,Kyber Network,https://home.kyber.network/assets/KyberNetworkWhitepaper.pdf
HST,Decision Token,https://horizonstate.com/horizon_state_white_paper.pdf
HMQ,Humaniq,https://humaniq.com/pdf/humaniq_wp_english.pdf
MTH,Monetha,https://ico.monetha.io/Monetha_WP.pdf
CPT,Cryptaur,https://icosbull.com/whitepapers/16/Cryptaur_whitepaper.pdf
RLC,iExec RLC,https://iex.ec/whitepaper/iExec-WPv3.0-English.pdf
INK,Ink,https://ink.one/statics/pdf/ink_whitepaper_en.pdf
INS,INS Ecosystem,https://ins.world/INS-ICO-Whitepaper.pdf
INT,Internet Node Token,https://intchain.io/whitepaper/INT-whitepaper-release-EN.pdf
ITC,IoT Chain,https://iotchain.io/whitepaper/ITCWHITEPAPER.pdf
IOTX,IoTeX,https://s3.amazonaws.com/web-iotex-static/home/IoTeX_Whitepaper_1.5_EN.pdf
MGO,MobileGo,https://ipv.nl/uploads/brochures/MobileGo-Whitepaper.pdf
